sample	workdir	batch
302162845	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302162845	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302165286	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302165286	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302141375	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302141375	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302160774	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302160774	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302131640	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302131640	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302155756	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302155756	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302142359	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302142359	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302143704	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302143704	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302141561	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302141561	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302138541	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302138541	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302138525	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302138525	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302162790	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302162790	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302156007	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302156007	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302155979	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302155979	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302157588	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302157588	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302138547	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302138547	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302149355	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302149355	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302159353	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302159353	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302160869	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302160869	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302138557	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302138557	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302161854	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302161854	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302138554	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302138554	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302155903	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302155903	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
302155964	/home/thomaspv/projects/def-kchoquet/thomaspv/batch1	batch1
302155964	/home/thomaspv/projects/def-kchoquet/thomaspv/batch2	batch2
